auto_clan	clan_description	number_archs	group_concat(distinct(pfamnr))	clan_comment
245	EDD superfamily	49	PF03610,PF02733,PF02645,PF13684	The EDD superfamily was identified as an evolutionarily conserved domain (EDD) common to three different folds: mannose transporter EIIA domain (EIIA-man), dihydroxyacetone kinase (Dak), and DegV [1]. Both Dak and EIIA-man perform similar phosphotransfer reactions, suggesting a phosphotransferase activity for the DegV-like family of proteins, whose function other than lipid binding revealed in the crystal structure remains unknown [1].
246	Isomerase,CoA transferase & Translation initiation factor Superfamily	121	PF01144,PF01812,PF02550,PF04223,PF00455,PF02589,PF01182,PF01008,PF04198,PF06026,PF13336	This superfamily contains a variety of enzymes and non-enzymatic  ligand binding domains.
247	2H phosphoesterase superfamily	65	PF02834,PF05213,PF05881,PF06299,PF07823,PF08975,PF09749,PF10469,PF13563	This clan includes a number of phosphoesterases that contain an internal duplication.
248	ParB-like superfamily	86	PF03235,PF02195,PF08857	This superfamily includes nucleases related to ParB as well as uncharacterised proteins.
249	Phage minor tail protein L clan	5	PF05100,PF08875	This clan includes the phage minor tail protein L as well as a group of uncharacterised proteins that are also presumably phage components.
250	GAD domain superfamily	15	PF02938,PF08887	This domain is found as an insert within aspartyl-tRNA synthetase as well as GatB proteins.
251	MORN repeat	240	PF02493,PF07661	The MORN (Membrane Occupation and Recognition Nexus) repeat is found in multiple copies in several proteins including junctophilins (See Takeshima et al. Mol. Cell 2000;6:11-22).\tA MORN-repeat protein has been identified in the parasite Toxoplasma gondiis as dynamic component of cell division apparatus [1].\tIt has been hypothesised to function as a linker protein between certain membrane regions and the parasite's cytoskeleton [1].
252	NfeD like	7	PF01957,PF07290	This clan includes the NfeD family which contains several proteins described as nodulation efficiency protein D (NfeD). The nfe genes (nfeA, nfeB, and nfeD) are involved in the nodulation efficiency and competitiveness of the Sinorhizobium meliloti strain GR4 on alfalfa roots [1]. The specific function the NfeD family is unknown although it is unlikely that NfeD is specifically involved in nodulation as the family contains several different archaeal and bacterial species most of which are not symbionts.
254	Thiamin diphosphate-binding superfamily	213	PF01855,PF02779,PF00676,PF02775,PF02776,PF00456,PF03894,PF09364,PF13292	This clan includes pyruvate dehydrogenases, branched chain alpha-keto acid decarboxylases, phosphoketolases and the pyrimidine binding region of transketolases.
255	ATP synthase F0 subunit	57	PF00895,PF00430,PF02108,PF00213,PF03179,PF01991,PF02326,PF05405,PF05933,PF06188,PF06635,PF09811	This clan contains subunits of the F0 complex of ATP-synthase. The F0 complex is the non-catalytic unit of ATPase and is involved in proton translocation across membranes.
256	Enolase like TIM barrel	48	PF00113,PF01188,PF05853,PF07476,PF13378	This clan contains enzymes which adopt a TIM barrel fold.
257	N-acetyltransferase like	764	PF00583,PF01853,PF04377,PF04376,PF00765,PF04339,PF04768,PF02388,PF03588,PF01233,PF02474,PF05301,PF06852,PF07395,PF08444,PF08445,PF09390,PF09924,PF12568,PF12746,PF13302,PF13420,PF13444,PF13480,PF13508,PF13523,PF13527,PF13673,PF13718,PF13880	This clan contains families related to N-acetyltransferases. N-acetyltransferases catalyse the transfer of acetyl groups from acetyl-CoA to arylamines.
258	DALR superfamily	25	PF05746,PF09190	Members of this family are anticodon binding domains from various tRNA synthetases.
259	OstA superfamily	31	PF03968,PF06835,PF13100	This superfamily includes the OstA family as well as a large family of uncharacterised proteins.
260	Nucleotidyltransferase superfamily	442	PF01909,PF04439,PF03445,PF03710,PF04991,PF03281,PF01743,PF03296,PF04229,PF04607,PF06042,PF07528,PF07984,PF08843,PF09139,PF09970,PF10127,PF10620,PF12633	This clan contains a diverse set of nucleotidyltransferase enzymes.
261	NUDIX superfamily	239	PF00293,PF09296,PF13869,PF14443	This superfamily contains the NUDIX family and one related family.
262	Trigger factor/SurA domain	47	PF05698,PF09312,PF13623,PF13624	This helical domain is found in two families of chaperones.  It is found at the N terminus of the SurA proteins and at the C-terminus of the trigger factors where presumably it shares a common but as yet unknown function.
263	His-Me finger endonuclease superfamily	372	PF01223,PF02945,PF04231,PF01844,PF03165,PF05315,PF05766,PF07510,PF12639,PF13391,PF13392,PF13395,PF13930,PF14279,PF14410,PF14411,PF14412,PF14414	This superfamily defined originally by SCOP contains a diverse range of endonucleases. Later Grishin identified the MH1 domain as belonging to the superfamily [1].
264	SGNH hydrolase superfamily	304	PF04311,PF03996,PF00657,PF08885,PF13472,PF13839	This superfamily contains a diversity of hydrolytic enzyme activities.
265	HIT superfamily	89	PF04677,PF02744,PF01087,PF01230,PF11969	The HIT superfamily are a superfamily of nucleotide hydrolases and transferases, which act on the alpha-phosphate of ribonucleotides [1].
266	PH domain-like superfamily	1032	PF03703,PF02893,PF00169,PF00640,PF00568,PF03517,PF00638,PF03531,PF06058,PF06713,PF07289,PF08000,PF08416,PF08458,PF08512,PF09380,PF10480,PF11605,PF12814	Members of this clan share a PH-like fold. Many families in this clan bind to short peptide motifs in proteins and are involved in signalling.
267	Ribosomal protein S11/L18p superfamily	28	PF03464,PF00861,PF00411	This superfamily includes two ribosomal proteins S11 and L18p as well as a domain from eukaryotic peptide chain release factor. This superfamily is likely to share an RNA-binding function.
268	Pectate lyase-like beta helix	1351	PF01095,PF01696,PF02415,PF00295,PF03718,PF05048,PF00544,PF03211,PF03212,PF05594,PF05860,PF07602,PF07971,PF08480,PF09251,PF12541,PF12708,PF12951,PF13229,PF13332,PF13647	This superfamily all contain a right handed beta helix similar to that first found in pectate lyase [1].
269	Maf/Ham1 superfamily	23	PF01931,PF02545	This superfamily includes the Maf-like proteins and ITPases related to YjjX [1].
270	Isocitrate/Isopropylmalate dehydrogenase-like superfamily	51	PF04166,PF02504,PF03971,PF00180,PF01515	This superfamily of enzymes form dimers and have an active site between the two halves.
271	F-box-like domain	659	PF00646,PF09372,PF12937,PF13013	This clan includes classical F-boxes and the PRANC domain found in pox ankyrin proteins.
272	RGS-like superfamily	125	PF00615,PF09128	This clan includes RGS domains that possess an alpha helical fold.
273	CYTH-like phosphatase superfamily	21	PF01928,PF02940	CyaB like adenylyl cyclase and the mammalian thiamine triphosphatases define a novel superfamily of catalytic domains called the CYTH domain that is present in all three superkingdoms of life. The catalytic core of these enzymes contain a novel alpha beta scaffold with 6 conserved acidic residues and 4 basic residues [1].
274	WRKY-GCM1 superfamily	180	PF03101,PF04500,PF03615,PF03106,PF03108,PF08731	WRKY and GCM1 are metal chelating DNA-binding domains (DBD) which share a four stranded fold [1]. We present evidence that they share a stabilising core, which suggests a possible origin from a BED finger-like intermediate that was in turn ultimately derived from a C2H2 Zn-finger domain [1].
275	HAS-barrel superfamily	26	PF02874,PF09378	The HAS barrel is named after HerA-ATP Synthase. In ATP synthases, this domain is implicated in the assembly of the catalytic toroid and docking of accessory subunits, such as the subunit of the ATP synthase complex. Similar roles in docking of the functional partner, the NurA nuclease, and assembly of the HerA toroid complex appear likely for the HAS-barrel of the HerA family [1].
276	Nucleotide cyclase superfamily	2121	PF00990,PF05165,PF00211	This superfamily includes adenylyl cyclase and the GGDEF domain [1].
277	FAD-linked oxidase C-terminal domain superfamily	105	PF02913,PF04030,PF08031,PF09129,PF09265,PF09330	This clan consists of a duplicated subdomain in a variety of FAD-liked oxidase/dehydrogenase enzymes.
278	AIG2/ChaC-like superfamily	43	PF04752,PF06094,PF13772	The structure consists of a five-stranded beta-barrel surrounded by two alpha-helices and a small beta-sheet.\tConservation of residues in a hydrophilic cavity able to bind small ligands in some members suggests that this may also serve as an active site.
279	YqeY-like superfamily	15	PF02637,PF09424	This superfamily includes a domain from GatB as well as one from YqeY. Although being structurally distinct they share a common sequence relationship.
280	PIN domain superfamily	182	PF02639,PF04900,PF01850,PF02739,PF03159,PF01936,PF00752,PF05991,PF08745,PF10130,PF11977,PF13470,PF13638,PF14367	This superfamily contains a variety of nuclease enzymes, including PIN domains and the FLAP exonucleases.
281	CCT like-motif	24	PF06203,PF09425	This clan includes the CCT motif as well as a related motif that is similar to the first half of the CCT motif.
282	Serum albumin superfamily	8	PF00273,PF09164	This superfamily includes serum albumin and related families.
283	LigB-like superfamily	16	PF02900,PF01875	This clan includes the LigB subunit of the aromatic ring opening dioxygenase LigAB [1]. The clan also includes the Memo-like proteins.
284	Allatostatin superfamily	14	PF05953,PF08261	Allatostatins are pleiotropic neuropeptides.  In some insects they are known to inhibit the synthesis of juvenile hormone, an important regulator of development and reproduction.  The full role of allatostatins in hormone production is still unclear [1].
285	YycI/YycH superfamily	4	PF07435,PF09648	Both, YycH and YycI are always found in a pair on the chromosome, downstream of the essential histidine kinase YycG. Additionally, both proteins share a function in regulating the YycG kinase with which they appear to form a ternary complex. Structural studies show that these two protein families share two related domains.
286	gamma-glutamylcysteine synthetase/glutamine synthetase clan	69	PF03074,PF00217,PF03136,PF04107,PF00120,PF04262,PF09899,PF12224,PF14395	This clan represents a superfamily of carboxylate-amine/ammonia ligases [1] that includes Gamma-Glutamylcysteine synthetase (gamma-GCS) and glutamine synthetase (GS). Gamma-Glutamylcysteine synthetase (gamma-GCS) catalyses the first step in the de novo biosynthesis of glutathione.
287	Transthyretin superfamily	981	PF00775,PF00576,PF05738,PF07210,PF08308,PF08400,PF09430,PF10794,PF12866,PF12892,PF13620,PF13715	This clan unifies several SCOP superfamilies that all share a 7 stranded beta sandwich fold.
288	DAP epimerase superfamily	35	PF02567,PF01678,PF04303,PF05544	This superfamily includes DAP epimerase and proline racemase as well as the PrpF protein. It has been suggested that this fold may have evolved from the HotDog fold [1].
289	Folate binding domain	48	PF01571,PF04268,PF10396	This folate binding domain is found in the GCV T protein as well as the sarcosine oxidase gamma subunit [1].
290	EPT/RTPC-like superfamily	50	PF01137,PF00275	This superfamily includes Enolpyruvate transferase (EPT) and RNA 3'-terminal phosphate cyclase (RTPC).
291	Nucleotidyltransferase substrate binding domain	80	PF05168,PF01934,PF05942,PF07827,PF08335,PF08780,PF10335,PF13643	This alpha helical domain is found associated with a variety of nucleotidyltransferase domains.
292	LysE transporter superfamily	97	PF02673,PF04332,PF03596,PF02674,PF02683,PF02659,PF01925,PF01810,PF01914,PF03824,PF03741,PF01169,PF11139,PF13386	This clan includes a diverse range of transporter families [1].
293	Cholesterol-dependent cytolysin superfamily	53	PF01823,PF01289	This superfamily includes the MACPF domain as well as the Cholesterol-dependent cytolysins [1].
294	Sec10-like superfamily	28	PF07393,PF08318,PF10191	This superfamily includes large proteins that are parts of the conserved oligomeric Golgi complex and exocyst complex.
295	Vps51 domain superfamily	118	PF04124,PF04091,PF04048,PF04129,PF04100,PF03081,PF06046,PF06148,PF06248,PF06419,PF08700,PF09763,PF10392,PF10475	This clan includes an N-terminal domain from several vesicle transport proteins that are related to Vps51.
296	GroES-like superfamily	395	PF00166,PF08240	This superfamily includes the GroES protein as well as the N-terminal GroES-like domain from Alcohol dehydrogenase.
297	PhoU-like superfamily	30	PF01865,PF01895	This superfamily includes PhoU and its relatives that contain a three helical bundle domain structure.
298	tRNA-binding arm superfamily	28	PF02912,PF02403,PF10458	This domain is found in Phe and Ser tRNA synthetases at the N-terminus, and at the C-terminus of Val tRNA synthetase. The domain is composed of two helices.
299	Peptidase clan SF	63	PF00717,PF10502	This clan includes the peptidase S24 and S26 families.  These families adopt a mainly beta fold.  Members of the family S24 have an additional C-terminal domain containing a bundle of three helices presumably important for binding DNA.
300	Twin-Arginine Translocation Motif	152	PF10399,PF10518	This motif is found in a wide range of secreted proteins. It is named after the conserved pair of arginines that is followed by a hydrophobic stretch.
301	PA14 superfamily	274	PF07691,PF10528	This clan includes the PA14 domain and related families.
302	Arginase/deacetylase superfamily	63	PF00850,PF00491,PF12640	This superfamily includes arginase enzymes as well as histone deacetylases and related enzymes [1].
303	Helix-two-turns-helix superfamily	41	PF00416,PF05833,PF06831	This domain is thought to play a role in binding nucleic acids. It is DNA binding in nucleases and RNA-binding in ribosomal S13.
304	CheY-like superfamily	2862	PF03709,PF00072,PF06490	This clan includes the CheY-like response regulators from bacteria [1-2].
305	Peptidyl-tRNA hydrolase II superfamily	12	PF01981,PF09391	This clan includes Peptidyl-tRNA hydrolase II as well as a large family of uncharacterised proteins called DUF2000. A structure for DUF2000 shows a similar structure to PTH2. It is not clear if the DUF2000 family are also Peptidyl-tRNA hydrolases. Both families contain a conserved positively charged residue close to the amino terminus that may be part of the active site.
306	LEM/SAP HeH motif	210	PF02037,PF03020,PF07498,PF09124,PF12949	This superfamily includes protein domains with the helix-extended loop-helix (HeH) structure.
307	Fusaric acid resistance protein-like superfamily	53	PF04632,PF04982,PF06081,PF10334,PF10337,PF11168,PF11744,PF12805,PF13515	Members of this clan are likely to be integral membrane bound transporters.
308	Dimethyl sulfoxide reductase type II family	20	PF04976,PF03916	This clan includes members that are type II dimethyl sulfoxide reductase families, all of which are also membrane anchor proteins belonging to the iron-sulfur molybdoenzyme (CISM) family [1].
310	DinB-like superfamily	60	PF05163,PF04978,PF07606,PF07609,PF08020,PF09351,PF11716,PF12867	This superfamily are thought to be metalloenzymes.  They possess a four helical bundle core structure with a beta hairpin. Members of the superfamily have a predicted active site composed of three histidines that chelate Nickel or Zinc.  In some cases these histidines are replaced with Aspartate or Glutamate.  Mostly they form a dimeric structure. The dinB gene is one of the DNA-damage-induced genes and the corresponding protein, DinB, is the founding member of the clan. The protein contains a four-helix up-down-down-up bundle that has previously been described in the literature in three disparate proteins: the enzyme MDMPI (mycothiol-dependent maleylpyruvate isomerase), YfiT and TTHA0303, a member of a small DUF (domain of unknown function).  Most (but not all) clan members seem to have the ability to coordinate a metal ion using a conserved histidine-triad motif.  The proteins that share the fold exhibit four different quaternary structures: monomeric and three different dimeric forms [1].
311	SCP-2 sterol transfer superfamily	48	PF02036,PF07398	This superfamily includes the SCP2 family as well as a domain from the mycothiol dependent maleylpyruvate isomerase.
312	Heme iron utilization protein-like superfamily	11	PF05171,PF06228	This superfamily includes HemS and ChuX like protein families.
314	ACP-like superfamily	2346	PF00550,PF07377,PF10501	NULL
315	Gx transporter superfamily	102	PF01313,PF02632,PF01891,PF04093,PF06177,PF07155,PF07456,PF07694,PF09512,PF09515,PF09991,PF12822	This superfamily includes a wide range of transporters that contain many conserved glycine residues in the presumed transmembrane regions.
316	Membrane acyl transferase superfamily	63	PF01757,PF04235,PF05857,PF07779,PF07786,PF10129	This superfamily includes a wide variety of integral membrane acyltransferase enzymes that often acylate sugars.
317	Multiheme cytochrome superfamily	182	PF02276,PF02335,PF02085,PF03264,PF03892,PF09698,PF09699,PF13435,PF13447	This family includes cytochromes that contain multiple CxxCH motifs.
318	Cytochrome c superfamily	384	PF03150,PF00034,PF02167,PF02433,PF06537,PF07635,PF09086,PF09098,PF13442	This family includes proteins where a covalently-bound haem completes the core. The core is three helices in an open folded leaf formation. The members are monodomain cytochromes.
319	SHS2 domain	65	PF01951,PF02491,PF03876,PF04832,PF06445,PF07311	SHS2 is a novel domain with a simple fold containing a core of 3  strands, forming a curved sheet, and a single helix in a  strand-helix-strand-strand (SHS2) configuration [1]. SHS2 is found in the bacterial cell division ATPase FtsA, the archaeo-eukaryotic RNA  polymerase subunit Rpb7p, the GyrI superfamily, and the  uncharacterized MTH1598/Tm1083-like proteins [1]. The fold exists as single copy versions in FtsA (where it is inserted into the RNAseH fold), Rbp7p and Dodecin [1]. It is found as a diad in the GyrI  superfamily. In MTH1598/Tm1083-like proteins two copies of SHS2 are found with one inserted into another [1]. The single-copy versions in FtsA and Rbp7 mediate protein–protein interactions, while the one in  Dodecin is a small molecule binding domain. The GyrI also binds small molecule, while the MTH1598 is predicted to be enzymatic [1].
320	PepSY domain-like superfamily	104	PF03413,PF04355,PF07467,PF11396,PF11399,PF12978,PF13670	This family includes the PepSY domain as well as a family of uncharacterised proteins.
321	PLAT domain like superfamily	144	PF01477,PF06232	This domain has an 8-stranded sandwich structure.
322	RND permease superfamily	134	PF02460,PF00873,PF03323,PF03176,PF02355,PF12349	Different members of the RND superfamily have been shown to transport hydrophobic drugs, fatty acids, bile salts, organic solvents, heavy metals, autoinducers and lipooligosaccharides in bacteria [1].
323	Patatin/FabD/lysophospholipase-like superfamily	1012	PF01734,PF00698,PF01735	This superfamily of enzymes contains a Ser/Asp catalytic dyad. Members of this superfamily are all serine acylhydrolase enzymes.
324	Homing endonuclease-like superfamily	70	PF03161,PF05204,PF00961,PF09062	This superfamily includes a variety of LAGLIDADG-like homing endonuclease like families.
325	Formate/glycerate dehydrogenase catalytic domain-like superfamily	72	PF00389,PF05222,PF05221	This superfamily includes the catalytic domain of a variety of dehydrogenase enzymes. The domain has a flavodoxin-like fold and contains an inserted Rossman fold NAD-binding domain.
326	Virus attachment protein superfamily	17	PF00541,PF01664,PF04582,PF08932	This superfamily includes virus attachment proteins that share a common beta sandwich domain.
327	Pilus subunit	445	PF02501,PF00114,PF03895,PF05307,PF05946,PF07963,PF08334,PF08805,PF13544,PF13633	This is a clan contains bacterial pilus subunits and proteins involved in secretion.  Pili proteins enable the transfer of plasmid between bacteria. The families in this clan adopt an alpha helical structure which is packed against a beta sheet [2-3].
328	Transmembrane di-heme cytochrome superfamily	218	PF02628,PF03462,PF01578,PF03188,PF00033,PF01794,PF01292,PF10348,PF13631,PF14358	This superfamily includes a variety of different heme binding cytochromes.
329	Ribosomal protein S5 domain 2-like superfamily	266	PF03764,PF00288,PF01138,PF01119,PF00475,PF03331,PF00825,PF03719,PF01205,PF05362,PF08714,PF09108,PF09239,PF13541	This superfamily contains a wide range of families that possess a structure similar to the second domain of ribosomal S5 protein.
330	Late secretory pathway transport machinery	97	PF02141,PF07792,PF08616,PF09794,PF09804	Members of this clan are involved in vesicle formation/trafficking.
331	General secretion pathway protein M	32	PF04375,PF04612,PF03245,PF05137,PF04350,PF10721,PF10741,PF12693	These families are involved in the general secretory pathways of bacteria and are normally membrane-bound.
332	Acetyl-decarboxylase like superfamily	98	PF02261,PF01568,PF11769	These families are double psi-beta barrel structures.
333	Gamma-Crystallin-like superfamily	50	PF00030,PF03995,PF08964,PF09117	This superfamily includes a number of mammalian crystallins as well as ancestral beta gamma-crystallin precursor structures.
334	Tetrahydrobiopterin biosynthesis-like enzyme superfamily	38	PF02152,PF01227,PF01242,PF01014	The families in this clan bind purine or ptein in topologically similar sites between subunits.
335	Fumarate reductase respiratory complex transmembrane subunits	15	PF02300,PF02313,PF01127,PF05328,PF07950	This superfamily constitutes two distinct families: in one family the common fold is contained in a single-chain subunit, in the other it is formed by two chains.
336	FMN-binding split barrel superfamily	115	PF04075,PF01613,PF04289,PF04299,PF01243,PF12766,PF12900,PF13883	This includes those related to the ferredoxin reductase-like FAD-binding domain and those that are Pyridoxine 5'-phosphate oxidase (PNP)-like.
337	Release factor superfamily	22	PF00472,PF10213	These families are peptide chain release factors.
339	PFL-like glycyl radical enzyme superfamily	80	PF05167,PF01228,PF02901,PF02867,PF11230,PF13597	The N- and C-terminal halves of the structure have similar topologies but in some cases only one is represented by the members here, viz; the C-terminal domain of the R1 subunit of ribonucleotide reductase, and the N-terminal of PFL. The full-length structure is modelled by NRDD.
340	Phosphotransferase/anion transport protein superfamily	108	PF00359,PF07565	The families here are the cytoplasmic regions of anion transporter proteins.
341	LDH C-terminal domain-like superfamily	14	PF02866,PF11975	This superfamily includes the C-terminal domain of lactate/malate dehydrogenase as well as the C-terminal domain of the glycosyl hydrolase 4 family.
342	TolB, N-terminal domain	53	PF03783,PF03886,PF03923,PF04052,PF05643,PF13036	Members of this superfamily appear to behave like the N-terminal fold of the TolB transport-portal complex protein, which is beta-stranded.
343	MHC antigen-recognition domain	18	PF00993,PF00969,PF00129	This superfamily includes all the Class I-related antigen-recognition domain families.
344	4Fe-4S ferredoxins	1802	PF00037,PF04068,PF05187,PF04060,PF06902,PF12797,PF12798,PF12800,PF12801,PF12837,PF12838,PF13183,PF13187,PF13237,PF13247,PF13353,PF13370,PF13394,PF13459,PF13484,PF13534,PF13746	Superfamily includes proteins containing domains which bind to iron-sulfur clusters. Members include bacterial ferredoxins, various dehydrogenases and various reductases. The structure of the domain is an alpha-antiparallel beta sandwich.
345	Aerolysin/ETX pore-forming domain superfamily	15	PF01117,PF03318	This superfamily includes pore-forming venoms and toxins from bacteria, plants, insects and fish.
346	Ribosomal protein L29, L29p, superfamily	7	PF00831,PF06984	Superfamily includes Ribosomal protein L29 family and its corresponding mitochondrial ribosomal family, L47.
347	Tetraspannin-like	35	PF04103,PF00335,PF13273	This clan includes the tetraspanin family which contains four transmembrane regions.  The CD20 family also has four transmembrane regions, but its members are not considered true tetraspanins as they lack nearly all of the key functional tetraspanin residues [1].
348	Phage virion morphogenesis superfamily	7	PF04883,PF05069	Families involved in joining the tail to the head of the  phage as well as those completing the head are included herein.   
349	MoCo carrier protein-like superfamily 	43	PF03641,PF02481,PF06908,PF12694	Known family members of this superfamily are required for natural chromosomal and plasmid transformation. DprA is a new member of the recombination-mediator protein family, dedicated to natural bacterial transformation [1]. Superfamily includes lysine_decarboxylases.
350	PRC-barrel like superfamily	30	PF05239,PF08683,PF09939	The PRC-barrel is an all beta barrel domain found in the photosynthetic reaction centre subunit H of the purple bacteria [1]. 
351	Coiled-coil helix coiled-coil helix superfamily	28	PF02297,PF05676,PF06747,PF08583,PF08991,PF10200	The conserved [coiled coil 1]-[helix 1]-[coiled coil 2]-[helix 2] domain (CHCH domain) superfamily members include NADH-ubiquinone oxidoreductases, some cytochrome oxidases and yeast mitochondrial ribosomal proteins. Within each helix of the CHCH domain there are two cysteines present in a C-X9-C motif.
352	WXG100-A/WXG100-B dimer	99	PF00934,PF00823,PF04740,PF06013,PF10817,PF10824	The WXG100 protein secretion system (Wss) is responsible for the secretion of WXG100 proteins (PF06013), such as ESAT-10 (6 kDa early secreted antigenic target) and CFP-10 (10 kDa culture filtrate protein) in Mycobacterium tuberculosis or EsxA (ESAT-6-like extracellularly secreted protein A) and EsxB in Staphylococcus aureus. These two proteins, generally encoded in the same gene cluster, form a 1:1 heterodimeric complex. These proteins are virulence factors involved in host-pathogen interaction [1], as demonstrated in Mycobacterium tuberculosis, Staphylococcus aureus or Bacillus anthracis. The Wss is encoded in many other Gram-positive (monoderm) bacteria. This superfamily contains a number of DUFs which are closely related and may or may not represent the same family of proteins.
353	TIMP-like superfamily	38	PF01759,PF00965	This superfamily consists of the C-terminal domains of netrins, complement proteins C3, C4, C5, secreted frizzled-related proteins, and type I procollagen C-proteinase enhancer proteins, as well as the homologous N-terminal domains of tissue inhibitors of metalloproteinases (TIMPs).
354	beta-Barrel protease inhibitors	5	PF02974,PF09022,PF09023	Superfamily consists of both metalloprotease- inhibitors and staphostatins.
355	CheC-like superfamily	26	PF04509,PF02154,PF11813,PF13690	The chemotactic response regulator superfamily are CheY-P phosphatases. Their structure is two intertwined alpha-beta-(X)-beta(2) motifs. This superfamily comprises two classes of proteins each shown to interact with the chemotaxis response regulator CheY: the FliM switch proteins and the CheC-type phosphatases [1]. FliM is a component of the flagellar switch found across the bacteria and is responsible for binding CheY-P and changing the rotational direction of the flagella. The N-terminal domain is CheC-like and the C-terminal shares the SpoA domain with FliN and FliY. The CheC family is broadly broken down into three phosphatase subfamilies: CheC, CheX, and FliY. All three have an active site consensus sequence of D/S-X(3)-E-X(2)-N-X(22)-P.
356	Creatinase/prolidase N-terminal domain superfamily	25	PF05195,PF01321	Bacterial amino-peptidases and creatinases, where the fold is a ribonuclease H-like motif, are grouped in this superfamily.
357	SMAD/FHA domain superfamily	328	PF00498,PF03166,PF10401	Superfamily members carry a few short helices inserted in loops within the 11 strands in 2 sheets (greek-key) of the parent fold.
359	Type II intron maturase-like superfamily	38	PF04494,PF01348,PF08388	Superfamily includes a variety of transcription factors that bind intron RNA during reverse transcription and splicing.
360	MTH1187/YkoF-like superfamily	7	PF01910,PF07615	Putative cell-wall biogenesis proteins and HMP-binding proteins, all with the same Ferredoxin fold, are included in this superfamily.
361	Classical C2H2 and C2HC zinc fingers	4975	PF04419,PF02892,PF00096,PF06220,PF07776,PF09237,PF11931,PF12171,PF12756,PF12874,PF12907,PF13465,PF13894,PF13909,PF13912,PF13913	Superfamily of classical and closely related C2H2 zinc-finger DNA-binding domains. Use description in zf-U1 for clan.
362	CRISPR-associated (Cas) Repair Associated Mysterious Proteins	24	PF03787,PF01881,PF08798,PF09559,PF09700,PF09704,PF10040	This group of families is one of several protein families that are always found associated with prokaryotic CRISPRs, themselves a family of clustered regularly interspaced short palindromic repeats, DNA repeats found in nearly half of all bacterial and archaeal genomes. These DNA repeat regions have a remarkably regular structure: unique sequences of constant size, called spacers, sit between each pair of repeats [1]. It has been shown that the CRISPRs are virus-derived sequences acquired by the host to enable them to resist viral infection. The Cas proteins from the host use the CRISPRs to mediate an antiviral response. After transcription of the CRISPR, a complex of Cas proteins termed Cascade cleaves a CRISPR RNA precursor in each repeat and retains the cleavage products containing the virus-derived sequence. Assisted by the helicase Cas3, these mature CRISPR RNAs then serve as small guide RNAs that enable Cascade to interfere with virus proliferation [2]. Cas5 contains an endonuclease motif, whose inactivation leads to loss of resistance, even in the presence of phage-derived spacers [3].
363	Hedgehog/intein (Hint) superfamily	236	PF01079,PF05203,PF07591,PF10596,PF13403	This superfamily includes Hedgehog C-terminal (Hog) autoprocessing domain and Intein (protein splicing domain) families.
364	LeuD/IlvD-like	31	PF00694,PF01989,PF06434	Superfamily includes LeuD-like, IlvD/EDD C-terminal domain-like, and AF0055-like families.
365	MurF and HprK N-domain-like superfamily	33	PF02603,PF07085	This includes both the MurE/MurF-ligases N-terminal domain and HPr kinase/phosphatase HprK N-terminal domain superfamilies.
366	JAB-like superfamily	94	PF01398,PF05021,PF04002,PF03665,PF14464	This superfamily includes a number of proteasome regulatory subunits, eukaryotic initiation factor 3 (eIF3) subunits, regulators of transcription factors and ubiquitination-assisting protein families. In eukaryotes and in prokaryotic cognates of the ubiquitin-based  modification pathway, they function as ubiquitin isopeptidases/ deubiquitinases. JAB domains are also found in diverse metabolic pathways in prokaryotes such as siderophore and cysteine   biosynthesis. Other distinct versions of the JAB domain,  such as RadC are predicted to function as nucleases. Structurally, the  JAB domain is  related to the nucleotide deaminase and binds a Zinc ion in a similar structural location.
367	CI-2 family of serine protease inhibitors	6	PF00280,PF11720	This superfamily includes a range of universally found subtilases, that are serine proteases.
368	Phospholipase C/P1 nuclease superfamily	23	PF04307,PF02265,PF00882,PF09988,PF13803	This superfamily includes the Phospholipase C and P1-nuclease families.
369	Glycosyl hydrolase domain superfamily	250	PF02806,PF02922,PF00686,PF08533,PF09154,PF09260,PF10438,PF11941	This domain is C-terminal to the catalytic beta/alpha barrel domain. The superfamily includes the C-terminal domain of a number of sugar-lytic families.
370	Uteroglobin-like superfamily	2	PF01099,PF09252	Members of this superfamily are disulfide-linked dimers of two identical chains, with 4 helices in each. They constitute important new cat, rat and rabbit allergens that are contributing to asthma world-wide.
371	Inovirus (filamentous phage) major coat protein	3	PF05356,PF05371,PF10389	Superfamily contains a number of filamentous phage coat-protein families.
372	Hyaluronate lyase-like catalytic, N-terminal domain	46	PF04850,PF08124	This contains virus envelope protein, Chondroitin AC lyase and hyaluronate lyase families.
373	Phage coat superfamily	22	PF05065,PF04454,PF05125,PF06673,PF09950,PF11651	A number of different phage coat-proteins are collected together in this superfamily.
374	PEP carboxykinase-like superfamily	13	PF00821,PF01293,PF07475	This includes the PEP carboxykinase C-terminal domain and HPr kinase HprK C-terminal domain families.
375	Transporter superfamily	34	PF00822,PF06653,PF06687,PF07062,PF07344,PF07803,PF10242,PF11381,PF12351,PF13903	The members of this superfamily are probably all transporter protein domains.
376	Cytochrome oxidase biogenesis family	22	PF02096,PF01956	The cytochrome oxidase biogenesis families are membrane transporters akin to the E coli protein YidC. For those proteins whose N-termini must reside in the intermembrane space, export is mediated by the Oxa1p export machinery, machinery that depends upon the membrane potential. Qxa1p homologues are found in all living organisms. TCDB:2.A.9.
