pfamnr	pfamdesc	interpronr	interprodesc
PF12885	Transducer of regulated CREB activity middle domain	IPR024784	NULL
PF12886	Transducer of regulated CREB activity, C terminus	IPR024785	NULL
PF12887	SICA extracellular alpha domain	IPR024290	NULL
PF12888	Lipid-binding putative hydrolase	IPR024404	NULL
PF12889	Protein of unknown function (DUF3829)	IPR024291	NULL
PF12890	Dihydro-orotase-like	IPR024403	NULL
PF12891	Glycoside hydrolase family 44	IPR024745	NULL
PF12892	T surface-antigen of pili	IPR022464	NULL
PF12893	Putative lumazine-binding	NULL	NULL
PF12894	Anaphase-promoting complex subunit 4 WD40 domain	IPR024977	NULL
PF12895	Anaphase-promoting complex, cyclosome, subunit 3	NULL	NULL
PF12896	Anaphase-promoting complex, cyclosome, subunit 4	IPR024790	NULL
PF12897	Alanine-glyoxylate amino-transferase	IPR024551	NULL
PF12898	Stc1 domain	IPR024630	NULL
PF12899	Alkaline and neutral invertase	IPR024746	NULL
PF12900	Pyridoxamine 5'-phosphate oxidase	IPR024747	NULL
PF12901	SUZ-C motif	IPR024642	NULL
PF12902	Ferritin-like	NULL	NULL
PF12903	Protein of unknown function (DUF3830)	IPR024532	NULL
PF12904	Putative collagen-binding domain of a collagenase 	IPR024749	NULL
PF12905	Endo-alpha-N-acetylgalactosaminidase	NULL	NULL
PF12906	RING-variant domain	NULL	NULL
PF12907	Zinc-binding	NULL	NULL
PF12908	Yersinia protein of unknown function (DUF3831)	IPR024536	NULL
PF12909	Protein of unknown function (DUF3832)	IPR024308	NULL
PF12910	Antitoxin of toxin-antitoxin stability system N-terminal	NULL	NULL
PF12911	N-terminal TM domain of oligopeptide transport permease C	NULL	NULL
PF12912	NLPC_P60 stabilising domain, N term	IPR025606	NULL
PF12913	SH3 domain of the SH3b1 type	NULL	NULL
PF12914	SH3 domain of SH3b2 type	NULL	NULL
PF12915	Protein of unknown function (DUF3833)	IPR024409	NULL
PF12916	Protein of unknown function (DUF3834)	IPR024533	NULL
PF12917	HD containing hydrolase-like enzyme 	NULL	NULL
PF12918	TcdB toxin N-terminal helical domain	IPR024772	NULL
PF12919	TcdA/TcdB catalytic glycosyltransferase domain	IPR024770	NULL
PF12920	TcdA/TcdB pore forming domain	IPR024769	NULL
PF12921	Mitochondrial ATPase expression	IPR024319	NULL
PF12922	non-SMC mitotic condensation complex subunit 1, N-term	IPR024324	NULL
PF12923	Ribosomal RNA-processing protein 7 (RRP7)	IPR024326	NULL
PF12924	Copper-binding of amyloid precursor, CuBD	IPR011178	NULL
PF12925	E2 domain of amyloid precursor protein	IPR024329	NULL
PF12926	Mitotic-spindle organizing gamma-tubulin ring associated	IPR024332	NULL
PF12927	Domain of unknown function (DUF3835)	IPR024325	NULL
PF12928	tRNA-splicing endonuclease subunit sen54 N-term	IPR024336	NULL
PF12929	Stretch-activated Ca2+-permeable channel component	IPR024338	NULL
PF12930	Family of unknown function (DUF3836)	IPR024339	NULL
PF12931	Sec23-binding domain of Sec16	NULL	NULL
PF12932	Vesicle coat trafficking protein Sec16 mid-region	IPR024340	NULL
PF12933	FTO catalytic domain	IPR024367	NULL
PF12934	FTO C-terminal domain	IPR024366	NULL
PF12935	Vesicle coat trafficking protein Sec16 N-terminus	IPR024468	NULL
PF12936	KRI1-like family C-terminal	IPR024626	NULL
PF12937	F-box-like	NULL	NULL
PF12938	M domain of GW182	NULL	NULL
PF12939	Domain of unknown function (DUF3837)	IPR024212	NULL
PF12940	Recombination-activation protein 1 (RAG1)	IPR024627	NULL
PF12941	HCV NS5a protein C-terminal region	IPR024350	NULL
PF12942	Archaeal ammonia monooxygenase subunit A (AmoA)	IPR024656	NULL
PF12943	Protein of unknown function (DUF3839)	IPR024365	NULL
PF12944	Protein of unknown function (DUF3840)	NULL	NULL
PF12945	Flagellar protein YcgR	NULL	NULL
PF12946	MSP1 EGF domain 1	IPR024730	NULL
PF12947	EGF domain	IPR024731	NULL
PF12948	MSP7-like protein C-terminal domain	IPR024781	NULL
PF12949	HeH/LEM domain	NULL	NULL
PF12950	TaqI-like C-terminal specificity domain	NULL	NULL
PF12951	Autotransporter-associated beta strand repeat	NULL	NULL
PF12952	Domain of unknown function (DUF3841)	IPR024211	NULL
PF12953	Domain of unknown function (DUF3842)	IPR024208	NULL
PF12954	Protein of unknown function (DUF3843)	IPR024214	NULL
PF12955	Domain of unknown function (DUF3844)	IPR024382	NULL
PF12956	Domain of Unknown Function with PDB structure	IPR024328	NULL
PF12957	Domain of unknown function (DUF3846)	IPR024559	NULL
PF12958	Protein of unknown function (DUF3847)	IPR024215	NULL
PF12959	Protein of unknown function (DUF3848)	IPR024380	NULL
PF12960	Protein of unknown function (DUF3849)	IPR024383	NULL
PF12961	Domain of Unknown Function with PDB structure (DUF3850)	NULL	NULL
PF12962	Protein of unknown function (DUF3851)	IPR024216	NULL
PF12963	Protein of unknown function (DUF3852)	IPR024330	NULL
PF12964	Protein of unknown function (DUF3853)	IPR024363	NULL
PF12965	Domain of unknown function (DUF3854)	IPR024385	NULL
PF12966	N-ATPase, AtpR subunit 	NULL	NULL
PF12967	Domain of Unknown Function with PDB structure (DUF3855)	IPR024482	NULL
PF12968	Domain of Unknown Function (DUF3856)	IPR024552	NULL
PF12969	Domain of Unknown Function with PDB structure (DUF3857)	IPR024618	NULL
PF12970	Domain of Unknown Function with PDB structure (DUF3858)	IPR024544	NULL
PF12971	Alpha-N-acetylglucosaminidase (NAGLU) N-terminal domain	IPR024240	NULL
PF12972	Alpha-N-acetylglucosaminidase (NAGLU) C-terminal domain	IPR024732	NULL
PF12973	ChrR Cupin-like domain	NULL	NULL
PF12974	ABC transporter, phosphonate, periplasmic substrate-binding protein 	NULL	NULL
PF12975	Domain of unknown function (DUF3859)	IPR024331	NULL
PF12976	Domain of Unknown Function with PDB structure (DUF3860)	IPR024619	NULL
PF12977	Domain of Unknown Function with PDB structure (DUF3861)	IPR024476	NULL
PF12978	Domain of Unknown Function with PDB structure (DUF3862)	IPR024418	NULL
PF12979	Domain of Unknown Function with PDB structure (DUF3863)	IPR024334	NULL
PF12980	Domain of Unknown Function with PDB structure (DUF3864)	IPR024335	NULL
PF12981	Domain of Unknown Function with PDB structure (DUF3865)	IPR024477	NULL
PF12982	Protein of unknown function (DUF3866)	IPR024479	NULL
PF12983	Protein of unknown function (DUF3867)	IPR024218	NULL
PF12984	Domain of unknown function, B. Theta Gene description (DUF3868)	IPR024480	NULL
PF12985	Domain of unknown function (DUF3869)	IPR024620	NULL
PF12986	Domain of unknown function (DUF3870)	IPR024617	NULL
PF12987	Domain of unknown function, B. Theta Gene description (DUF3871)	IPR024353	NULL
PF12988	Domain of unknown function, B. Theta Gene description (DUF3872)	IPR024355	NULL
PF12989	Domain of unknown function, B. Theta Gene description (DUF3873)	IPR024356	NULL
PF12990	Domain of unknonw function from B. Theta Gene description (DUF3874)	IPR024450	NULL
PF12991	Domain of unknown function, B. Theta Gene description (DUF3875)	IPR024451	NULL
PF12992	Domain of unknown function, B. Theta Gene description (DUF3876)	IPR024452	NULL
PF12993	Domain of unknown function, E. rectale Gene description (DUF3877)	IPR024539	NULL
PF12994	Domain of unknown function, E. rectale Gene description (DUF3878)	IPR024538	NULL
PF12995	Domain of unknown function, E. rectale Gene description (DUF3879)	IPR024540	NULL
PF12996	DUF based on E. rectale Gene description (DUF3880)	IPR024542	NULL
PF12997	Domain of unknown function, E. rectale Gene description (DUF3881)	IPR024541	NULL
PF12998	Inhibitor of growth proteins N-terminal histone-binding	IPR024610	NULL
PF12999	Glucosidase II beta subunit-like	NULL	NULL
PF13000	Acetyl-coenzyme A transporter 1	IPR024371	NULL
PF13001	Proteasome stabiliser	IPR024372	NULL
PF13002	Arrestin_N terminal like	IPR024391	NULL
PF13003	Ribosomal protein L1	IPR024663	NULL
PF13004	Bacteroidetes-Associated Carbohydrate-binding Often N-terminal	IPR024361	NULL
PF13005	putative Helix-turn-helix domain of transposase IS66 	IPR024474	NULL
PF13006	Insertion element 4 transposase N-terminal	IPR024473	NULL
PF13007	Transposase C of IS166 homeodomain	IPR024463	NULL
PF13008	Zinc-binding domain of Paramyxoviridae V protein	IPR024279	NULL
PF13009	Putative phage integrase	IPR024965	NULL
PF13010	Primase helical domain	IPR024966	NULL
PF13011	leucine-zipper of insertion element IS481	IPR024967	NULL
PF13012	Maintenance of mitochondrial structure and function	IPR024969	NULL
PF13013	F-box-like domain	IPR001810	NULL
PF13014	KH domain	IPR004088	NULL
PF13015	Glucosidase II beta subunit-like protein	NULL	NULL
PF13016	Cys-rich Gliadin N-terminal	IPR016140	NULL
PF13017	piRNA pathway germ-plasm component	IPR024970	NULL
PF13018	Extended Signal Peptide of Type V secretion system	IPR024973	NULL
PF13019	Telomere stability and silencing	IPR024974	NULL
PF13020	Domain of unknown function (DUF3883)	IPR024975	NULL
PF13021	Domain of unknown function (DUF3885)	IPR024976	NULL
PF13022	Helix-turn-helix of insertion element transposase	IPR024978	NULL
PF13023	HD domain	NULL	NULL
PF13024	Protein of unknown function (DUF3884)	IPR024979	NULL
PF13025	Protein of unknown function (DUF3886)	IPR024980	NULL
PF13026	Protein of unknown function (DUF3887)	IPR024981	NULL
PF13027	Protein of unknown function (DUF3888)	IPR024984	NULL
PF13028	Protein of unknown function (DUF3889)	IPR024987	NULL
PF13029	Domain of unknown function (DUF3890)	IPR024988	NULL
PF13030	Protein of unknown function (DUF3891)	IPR024992	NULL
PF13031	Protein of unknown function (DUF3892)	IPR024997	NULL
PF13032	Domain of unknown function (DUF3893)	IPR024996	NULL
PF13033	Protein of unknown function (DUF3894)	IPR024993	NULL
PF13034	Protein of unknown function (DUF3895)	IPR024995	NULL
PF13035	Protein of unknown function (DUF3896)	IPR024994	NULL
PF13036	Protein of unknown function (DUF3897)	IPR014094	NULL
PF13037	Domain of unknown function (DUF3898)	IPR025012	NULL
PF13038	Domain of unknown function (DUF3899)	IPR025007	NULL
PF13039	Protein of unknown function (DUF3900)	IPR025006	NULL
PF13040	Protein of unknown function (DUF3901)	IPR025004	NULL
PF13041	PPR repeat family 	IPR002885	NULL
PF13042	Protein of unknown function (DUF3902)	IPR025001	NULL
PF13043	Domain of unknown function (DUF3903)	IPR025000	NULL
PF13044	Protein of unknown function (DUF3904)	IPR025167	NULL
PF13045	Protein of unknown function (DUF3905)	IPR024999	NULL
PF13046	Protein of unknown function (DUF3906)	IPR024998	NULL
PF13047	Protein of unknown function (DUF3907)	IPR025013	NULL
PF13048	Protein of unknown function (DUF3908)	IPR025020	NULL
PF13049	Protein of unknown function (DUF3910)	IPR025021	NULL
PF13050	Protein of unknown function (DUF3911)	IPR025022	NULL
PF13051	Protein of unknown function (DUF3912)	IPR025023	NULL
PF13052	Protein of unknown function (DUF3913)	IPR025024	NULL
PF13053	Protein of unknown function (DUF3914)	IPR025025	NULL
PF13054	Protein of unknown function (DUF3915)	IPR025026	NULL
PF13055	Protein of unknown function (DUF3917)	IPR025027	NULL
PF13056	Protein of unknown function (DUF3918)	IPR025029	NULL
PF13057	Protein of unknown function (DUF3919)	IPR025031	NULL
PF13058	Protein of unknown function (DUF3920)	IPR025033	NULL
PF13059	Protein of unknown function (DUF3992)	IPR025035	NULL
PF13060	Protein of unknown function (DUF3921)	IPR025036	NULL
PF13061	Protein of unknown function (DUF3923)	IPR025037	NULL
PF13062	Protein of unknown function (DUF3924)	IPR025038	NULL
PF13063	Protein of unknown function (DUF3925)	IPR025168	NULL
PF13064	Protein of unknown function (DUF3927)	IPR025169	NULL
PF13065	Protein of unknown function (DUF3928)	IPR025170	NULL
PF13066	Protein of unknown function (DUF3929)	IPR025171	NULL
PF13067	Protein of unknown function (DUF3930)	IPR025172	NULL
PF13068	Protein of unknown function (DUF3932)	IPR025173	NULL
PF13069	Protein of unknown function (DUF3933)	IPR025174	NULL
PF13070	Protein of unknown function (DUF3934)	IPR025175	NULL
PF13071	Protein of unknown function (DUF3935)	IPR025176	NULL
PF13072	Protein of unknown function (DUF3936)	IPR025177	NULL
PF13073	Protein of unknown function (DUF3937)	IPR025068	NULL
PF13074	Protein of unknown function (DUF3938)	IPR025070	NULL
PF13075	Protein of unknown function (DUF3939)	IPR025071	NULL
PF13076	Protein of unknown function (DUF3940)	IPR025072	NULL
PF13077	Protein of unknown function (DUF3909)	IPR025073	NULL
PF13078	Protein of unknown function (DUF3942)	IPR025074	NULL
PF13079	Protein of unknown function (DUF3916)	IPR025075	NULL
PF13080	Protein of unknown function (DUF3926)	IPR025076	NULL
PF13081	Domain of unknown function (DUF3941)	IPR025077	NULL
PF13082	Protein of unknown function (DUF3931)	IPR025078	NULL
PF13083	KH domain	NULL	NULL
PF13084	Domain of unknown function (DUF3943)	IPR025079	NULL
PF13085	2Fe-2S iron-sulfur cluster binding domain	IPR025192	NULL
PF13086	AAA domain	NULL	NULL
PF13087	AAA domain	NULL	NULL
PF13088	BNR repeat-like domain	NULL	NULL
PF13089	Polyphosphate kinase N-terminal domain	IPR025198	NULL
PF13090	Polyphosphate kinase C-terminal domain	IPR025200	NULL
PF13091	PLD-like domain	IPR025202	NULL
PF13092	Kinetochore complex Sim4 subunit Fta1	IPR025204	NULL
PF13093	Kinetochore complex Fta4 of Sim4 subunit, or CENP-50	IPR025207	NULL
PF13094	CENP-A-nucleosome distal (CAD) centromere subunit	IPR025212	NULL
PF13095	Kinetochore Sim4 complex subunit FTA2	IPR025213	NULL
PF13096	Family description	NULL	NULL
PF13097	CENP-A nucleosome associated complex (NAC) subunit	IPR025214	NULL
PF13098	Thioredoxin-like domain	NULL	NULL
PF13099	Domain of unknown function (DUF3944)	IPR025217	NULL
PF13100	OstA-like protein	IPR005653	NULL
PF13101	Protein of unknown function (DUF3945)	IPR025222	NULL
PF13102	Protein of unknown function (DUF3946)	IPR025269	NULL
PF13103	TonB C terminal	IPR006260	NULL
PF13104	Protein of unknown function (DUF3956)	IPR025225	NULL
PF13105	Protein of unknown function (DUF3959)	IPR025080	NULL
PF13106	Domain of unknown function (DUF3961)	IPR025081	NULL
PF13107	Protein of unknown function (DUF3964)	IPR025082	NULL
PF13108	Protein of unknown function (DUF3969)	IPR025083	NULL
PF13109	AsmA-like C-terminal region	NULL	NULL
PF13110	Protein of unknown function (DUF3966)	IPR025084	NULL
PF13111	Protein of unknown function (DUF3962)	IPR025085	NULL
PF13112	Protein of unknown function (DUF3965)	IPR025087	NULL
PF13113	Protein of unknown function (DUF3970)	IPR025088	NULL
PF13114	RecO N terminal	IPR022572	NULL
PF13115	YtkA-like	NULL	NULL
PF13116	Protein of unknown function	IPR025263	NULL
PF13117	Cag pathogenicity island protein Cag12	IPR025264	NULL
PF13118	Protein of unknown function (DUF3972) 	IPR025002	NULL
PF13119	Domain of unknown function (DUF3973)	IPR025003	NULL
PF13120	Domain of unknown function (DUF3974)	IPR025005	NULL
PF13121	Domain of unknown function (DUF3976)	IPR025008	NULL
PF13122	Protein of unknown function (DUF3977)	IPR025009	NULL
PF13123	Protein of unknown function (DUF3978)	IPR025010	NULL
PF13124	Protein of unknown function (DUF3963)	IPR025011	NULL
PF13125	Protein of unknown function (DUF3958)	IPR025014	NULL
PF13126	Protein of unknown function (DUF3975)	IPR025015	NULL
PF13127	Protein of unknown function (DUF3955)	IPR025016	NULL
PF13128	Protein of unknown function (DUF3954)	IPR025017	NULL
PF13129	Protein of unknown function (DUF3953)	IPR025018	NULL
PF13130	Domain of unknown function (DUF3952)	IPR025019	NULL
PF13131	Protein of unknown function (DUF3951)	IPR025028	NULL
PF13132	Domain of unknown function (DUF3950)	IPR025030	NULL
PF13133	Protein of unknown function (DUF3949)	IPR025032	NULL
PF13134	Protein of unknown function (DUF3948)	IPR025034	NULL
PF13135	Protein of unknown function (DUF3947)	IPR025039	NULL
PF13136	Protein of unknown function (DUF3984)	IPR025040	NULL
PF13137	Protein of unknown function (DUF3983)	IPR025041	NULL
PF13138	Protein of unknown function (DUF3982)	IPR025042	NULL
PF13139	Domain of unknown function (DUF3981)	IPR025043	NULL
PF13140	Domain of unknown function (DUF3980)	IPR025044	NULL
PF13141	Protein of unknown function (DUF3979)	IPR025045	NULL
PF13142	Domain of unknown function (DUF3960)	IPR025046	NULL
PF13143	Protein of unknown function (DUF3986)	IPR025047	NULL
PF13144	SAF-like	NULL	NULL
PF13145	PPIC-type PPIASE domain	NULL	NULL
PF13146	TRL-like protein family	IPR025113	NULL
PF13147	Amidohydrolase	NULL	NULL
PF13148	Protein of unknown function (DUF3987)	IPR025048	NULL
PF13149	Protein of unknown function (DUF3988)	IPR025049	NULL
PF13150	Protein of unknown function (DUF3989)	IPR025050	NULL
PF13151	Protein of unknown function (DUF3990)	IPR025051	NULL
PF13152	Protein of unknown function (DUF3967)	IPR025052	NULL
PF13153	Protein of unknown function (DUF3985)	IPR025053	NULL
PF13154	Protein of unknown function (DUF3991)	IPR025054	NULL
PF13155	Toprim-like	NULL	NULL
PF13156	Restriction endonuclease	NULL	NULL
PF13157	Protein of unknown function (DUF3992)	IPR025055	NULL
PF13158	Protein of unknown function (DUF3993)	IPR025056	NULL
PF13159	Domain of unknown function (DUF3994)	IPR025057	NULL
PF13160	Protein of unknown function (DUF3995)	IPR025058	NULL
PF13161	Protein of unknown function (DUF3996)	IPR016489	NULL
PF13162	Protein of unknown function (DUF3997)	IPR025059	NULL
PF13163	Protein of unknown function (DUF3999)	IPR025060	NULL
PF13164	Protein of unknown function (DUF4002)	IPR025061	NULL
PF13165	Protein of unknown function (DUF4001)	IPR023975	NULL
PF13166	AAA domain	NULL	NULL
PF13167	GTP-binding GTPase N-terminal	IPR025121	NULL
PF13168	Poxvirus B22R protein C-terminal	IPR025128	NULL
PF13169	Poxvirus B22R protein N-terminal	IPR025133	NULL
PF13170	Protein of unknown function (DUF4003)	IPR025062	NULL
PF13171	Protein of unknown function (DUF4004)	IPR025063	NULL
PF13172	PepSY-associated TM helix	NULL	NULL
PF13173	AAA domain	NULL	NULL
PF13174	Tetratricopeptide repeat	NULL	NULL
PF13175	AAA ATPase domain	NULL	NULL
PF13176	Tetratricopeptide repeat	NULL	NULL
PF13177	DNA polymerase III, delta subunit	NULL	NULL
PF13178	Protein of unknown function (DUF4005)	IPR025064	NULL
PF13179	Family of unknown function (DUF4006)	IPR025065	NULL
PF13180	PDZ domain	NULL	NULL
PF13181	Tetratricopeptide repeat	NULL	NULL
PF13182	Protein of unknown function (DUF4007)	IPR025248	NULL
PF13183	4Fe-4S dicluster domain	NULL	NULL
PF13184	NusA-like KH domain	IPR025249	NULL
PF13185	GAF domain	NULL	NULL
PF13186	Domain of unknown function (DUF4008)	IPR023885	NULL
PF13187	4Fe-4S dicluster domain	NULL	NULL
PF13188	PAS domain	NULL	NULL
PF13189	Cytidylate kinase-like family	NULL	NULL
PF13190	PDGLE domain	NULL	NULL
PF13191	AAA ATPase domain	NULL	NULL
PF13192	Thioredoxin domain	NULL	NULL
PF13193	Domain of unknown function (DUF4009)	IPR025110	NULL
PF13194	Domain of unknown function (DUF4010)	IPR025105	NULL
PF13195	Protein of unknown function (DUF4011)	IPR025103	NULL
PF13196	Protein of unknown function (DUF4012)	IPR025101	NULL
PF13197	Protein of unknown function (DUF4013)	IPR025098	NULL
PF13198	Protein of unknown function (DUF4014)	IPR025096	NULL
PF13199	Glycosyl hydrolase family 66	IPR025092	NULL
PF13200	Putative glycosyl hydrolase domain	IPR025275	NULL
PF13201	Putative glycoside hydrolase xylanase	IPR025112	NULL
PF13202	EF hand	NULL	NULL
PF13203	Putative metallopeptidase domain	IPR025154	NULL
PF13204	Protein of unknown function (DUF4038)	IPR025277	NULL
PF13205	Bacterial Ig-like domain	NULL	NULL
PF13206	Trypanosomal VSG domain	NULL	NULL
PF13207	AAA domain	NULL	NULL
PF13208	Domain of unknown function (DUF4016)	IPR025266	NULL
PF13209	Protein of unknown function (DUF4017)	IPR025090	NULL
PF13210	Domain of unknown function (DUF4018)	IPR025089	NULL
PF13211	Protein of unknown function (DUF4019)	IPR025091	NULL
PF13212	Domain of unknown function (DUF4020)	IPR025093	NULL
PF13213	Protein of unknown function (DUF4021)	IPR025094	NULL
PF13214	Protein of unknown function (DUF4022)	IPR025095	NULL
PF13215	Protein of unknown function (DUF4023)	IPR025097	NULL
PF13216	Protein of unknown function (DUF4024)	IPR025099	NULL
PF13217	Protein of unknown function (DUF4025)	IPR025100	NULL
PF13218	Protein of unknown function (DUF4026)	IPR025102	NULL
PF13219	Protein of unknown function (DUF4027)	IPR025104	NULL
PF13220	Protein of unknown function (DUF4028)	IPR025106	NULL
PF13221	Protein of unknown function (DUF4029)	IPR025107	NULL
PF13222	Protein of unknown function (DUF4030)	IPR025108	NULL
PF13223	Protein of unknown function (DUF4031)	IPR025109	NULL
PF13224	Domain of unknown function (DUF4032)	IPR025111	NULL
PF13225	Domain of unknown function (DUF4033)	IPR025114	NULL
PF13226	Domain of unknown function (DUF4034)	IPR025115	NULL
PF13227	Protein of unknown function (DUF4035)	IPR025116	NULL
PF13228	Domain of unknown function (DUF4037)	IPR025117	NULL
PF13229	Right handed beta helix region	NULL	NULL
PF13230	Glutamine amidotransferases class-II	NULL	NULL
PF13231	Dolichyl-phosphate-mannose-protein mannosyltransferase	NULL	NULL
PF13232	Complex1_LYR-like	NULL	NULL
PF13233	Complex1_LYR-like	NULL	NULL
PF13234	rRNA-processing arch domain	NULL	NULL
PF13236	Clustered mitochondria	NULL	NULL
PF13237	4Fe-4S dicluster domain	NULL	NULL
PF13238	AAA domain	NULL	NULL
PF13239	2TM domain	NULL	NULL
PF13240	zinc-ribbon domain	NULL	NULL
PF13241	Putative NAD(P)-binding	NULL	NULL
PF13242	HAD-hyrolase-like	NULL	NULL
PF13243	Prenyltransferase-like	NULL	NULL
PF13244	Domain of unknown function (DUF4040)	IPR025383	NULL
PF13245	Part of AAA domain	NULL	NULL
PF13246	Putative hydrolase of sodium-potassium ATPase alpha subunit	NULL	NULL
PF13247	4Fe-4S dicluster domain	NULL	NULL
PF13248	zinc-ribbon domain	NULL	NULL
PF13249	Prenyltransferase-like	NULL	NULL
PF13250	Domain of unknown function (DUF4041)	IPR025280	NULL
PF13251	Domain of unknown function (DUF4042)	IPR025283	NULL
PF13252	Protein of unknown function (DUF4043)	IPR025267	NULL
PF13253	Protein of unknown function (DUF4044)	IPR025270	NULL
PF13254	Domain of unknown function (DUF4045)	IPR025118	NULL
PF13255	Protein of unknown function (DUF4046)	IPR025119	NULL
PF13256	Domain of unknown function (DUF4047)	IPR025120	NULL
PF13257	Domain of unknown function (DUF4048)	IPR025122	NULL
PF13258	Domain of unknown function (DUF4049)	IPR025123	NULL
PF13259	Protein of unknown function (DUF4050)	IPR025124	NULL
PF13260	Protein of unknown function (DUF4051)	IPR025125	NULL
PF13261	Protein of unknown function (DUF4052)	IPR025126	NULL
PF13262	Protein of unknown function (DUF4054)	IPR025127	NULL
PF13263	PHP-associated	NULL	NULL
PF13264	Domain of unknown function (DUF4055)	IPR025129	NULL
PF13265	Protein of unknown function (DUF4056)	IPR025130	NULL
PF13266	Protein of unknown function (DUF4057)	IPR025131	NULL
PF13267	Protein of unknown function (DUF4058)	IPR025132	NULL
PF13268	Protein of unknown function (DUF4059)	IPR025134	NULL
PF13269	Protein of unknown function (DUF4060)	IPR025135	NULL
PF13270	Domain of unknown function (DUF4061)	IPR025271	NULL
PF13271	Domain of unknown function (DUF4062)	IPR025139	NULL
PF13272	Protein of unknown function (DUF4063)	IPR025140	NULL
PF13273	Protein of unknown function (DUF4064)	IPR025273	NULL
PF13274	Protein of unknown function (DUF4065)	IPR025272	NULL
PF13275	S4 domain	NULL	NULL
PF13276	HTH-like domain	NULL	NULL
PF13277	YmdB-like protein	IPR005235	NULL
PF13278	Putative amidotransferase	IPR025628	NULL
PF13279	Thioesterase-like superfamily	NULL	NULL
PF13280	WYL domain	NULL	NULL
PF13281	Domain of unknown function (DUF4071)	IPR025136	NULL
PF13282	Domain of unknown function (DUF4070)	IPR025274	NULL
PF13283	Bacteriophage N adsorption protein A C-term	IPR025137	NULL
PF13284	Domain of unknown function (DUF4072)	IPR025138	NULL
PF13285	Domain of unknown function (DUF4073)	IPR025142	NULL
PF13286	Phosphohydrolase-associated domain	NULL	NULL
PF13287	Fn3 associated	NULL	NULL
PF13288	DXP reductoisomerase C-terminal domain	NULL	NULL
PF13289	SIR2-like domain	NULL	NULL
PF13290	Chitobiase/beta-hexosaminidase C-terminal domain	NULL	NULL
PF13291	ACT domain	NULL	NULL
PF13292	1-deoxy-D-xylulose-5-phosphate synthase	NULL	NULL
PF13293	Domain of unknown function (DUF4074)	IPR025281	NULL
PF13294	Domain of unknown function (DUF4075)	IPR025276	NULL
PF13295	Domain of unknown function (DUF4077)	IPR025278	NULL
PF13296	Putative type VI secretion system Rhs element Vgr	NULL	NULL
PF13297	Telomere stability C-terminal	NULL	NULL
PF13298	DNA polymerase Ligase (LigD)	IPR014144	NULL
PF13299	Cleavage and polyadenylation factor 2 C-terminal	IPR025069	NULL
PF13300	Domain of unknown function (DUF4078)	IPR025066	NULL
PF13301	Protein of unknown function (DUF4079)	IPR025067	NULL
PF13302	Acetyltransferase (GNAT) domain	IPR000182	NULL
PF13303	Phosphotransferase system, EIIC	IPR003352	NULL
PF13304	AAA domain	NULL	NULL
PF13305	WHG domain	NULL	NULL
PF13306	Leucine rich repeats (6 copies)	NULL	NULL
PF13307	Helicase C-terminal domain	IPR006555	NULL
PF13308	YARHG domain	IPR025582	NULL
PF13309	HTH domain	NULL	NULL
PF13310	Virulence protein RhuM family	NULL	NULL
PF13311	Protein of unknown function (DUF4080)	IPR025288	NULL
PF13312	Domain of unknown function (DUF4081)	IPR025289	NULL
PF13313	Domain of unknown function (DUF4082)	IPR025141	NULL
PF13314	Domain of unknown function (DUF4083)	IPR025143	NULL
PF13315	Protein of unknown function (DUF4085)	IPR025144	NULL
PF13316	Protein of unknown function (DUF4087)	IPR025145	NULL
PF13317	Protein of unknown function (DUF4088)	IPR025146	NULL
PF13318	Protein of unknown function (DUF4089)	IPR025148	NULL
PF13319	Protein of unknown function (DUF4090)	IPR025149	NULL
PF13320	Domain of unknown function (DUF4091)	IPR025150	NULL
PF13321	Domain of unknown function (DUF4084)	IPR025152	NULL
PF13322	Domain of unknown function (DUF4092)	IPR025385	NULL
PF13323	N-terminal domain with HPIH motif	IPR025583	NULL
PF13324	Grap2 and cyclin-D-interacting	NULL	NULL
PF13325	N-terminal region of micro-spherule protein	NULL	NULL
PF13326	Photosystem II Pbs27	IPR025585	NULL
PF13327	Type III secretion system subunit	IPR025292	NULL
PF13328	HD domain	NULL	NULL
PF13329	Autophagy-related protein 2 CAD motif	NULL	NULL
PF13330	Mucin-2 protein WxxW repeating region	IPR025155	NULL
PF13331	Domain of unknown function (DUF4093)	IPR025156	NULL
PF13332	Haemagluttinin repeat	IPR025157	NULL
PF13333	Integrase core domain	NULL	NULL
PF13334	Domain of unknown function (DUF4094)	IPR025298	NULL
PF13335	Magnesium chelatase, subunit ChlI	IPR025158	NULL
PF13336	Acetyl-CoA hydrolase/transferase C-terminal domain	NULL	NULL
PF13337	Putative ATP-dependent Lon protease	IPR014061	NULL
PF13338	Domain of unknown function (DUF4095)	IPR025159	NULL
PF13339	Apoptosis antagonizing transcription factor	IPR025160	NULL
PF13340	Putative transposase of IS4/5 family (DUF4096)	IPR025161	NULL
PF13341	RAG2 PHD domain	IPR025162	NULL
PF13342	C-terminal repeat of topoisomerase	IPR025589	NULL
PF13343	Bacterial extracellular solute-binding protein	NULL	NULL
PF13344	Haloacid dehalogenase-like hydrolase	NULL	NULL
PF13345	Domain of unknown function (DUF4098)	IPR025386	NULL
PF13346	ABC-2 family transporter protein	NULL	NULL
PF13347	MFS/sugar transport protein	NULL	NULL
